movieId,titre,genres,annee,realisateur,acteurs,mots_cles
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles']","['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'nostalgic', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'toy', '3d animation', 'joyous', 'amused', 'comforting', 'pixar']"
2,Jumanji,Adventure|Children|Fantasy,1995,Joe Johnston,"['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce']","['based on novel or book', 'giant insect', 'board game', 'disappearance', 'jungle', 'recluse', 'stampede', 'based on young adult novel', 'excited', 'joyful', 'vibrant']"
3,Grumpier Old Men,Comedy|Romance,1995,Howard Deutch,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']","['fishing', 'sequel', 'old man', 'best friend', 'wedding', 'italian restaurant', 'old friends', 'duringcreditsstinger', 'pranks']"
4,Waiting to Exhale,Comedy|Drama|Romance,1995,Forest Whitaker,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']","['based on novel or book', 'single mother', 'divorce', 'anxious', 'friendship between women', 'cautionary', 'adoring', 'celebratory', 'comforting', 'african american romance', 'african american friendship']"
5,Father of the Bride Part II,Comedy,1995,Charles Shyer,"['Steve Martin', 'Diane Keaton', 'Martin Short']","['daughter', 'baby', 'parent child relationship', 'midlife crisis', 'pregnancy', 'confidence', 'aging', 'sequel', 'remake', 'los angeles, california', 'pregnant woman', 'contraception', 'gynecologist', 'pregnant']"
6,Heat,Action|Crime|Thriller,1995,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['robbery', 'chase', 'gangster', 'obsession', 'detective', 'heist', 'remake', 'thief', 'honor', 'murder', 'betrayal', 'gang', 'los angeles, california', 'cat and mouse', 'bank robbery', 'criminal mastermind', 'ex-con', 'one last job', 'loner', 'bank job', 'neo-noir', 'crime epic', 'assertive', 'authoritarian', 'bold']"
7,Sabrina,Comedy|Romance,1995,Sydney Pollack,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']","['chauffeur', 'sibling relationship', 'paris, france', 'transformation', 'birthday party', 'family business ', 'long island, new york', 'playboy', 'teenage crush', 'millionaire', 'marriage engagement', 'high society', 'merger', 'impossible love', 'family disapproval', 'scheme', 'wealth differences', 'wealthy family', 'father daughter relationship', 'brother brother relationship', 'unlikely romance', 'romantic']"
8,Tom and Huck,Adventure|Children,1995,Peter Hewitt,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Eric Schweig']","['based on novel or book', 'mississippi river', 'male friendship', 'restless youth', 'rural americana']"
9,Sudden Death,Action,1995,Peter Hyams,"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry']","['explosive', 'hostage', 'ice hockey', 'terrorism', 'vice president', 'pittsburgh, pennsylvania', 'pittsburgh penguins']"
10,GoldenEye,Action|Adventure|Thriller,1995,Martin Campbell,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']","['computer virus', 'cuba', 'falsely accused', 'secret intelligence service', 'secret identity', 'secret base', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg, russia', 'red army', 'james bond']"
11,"American President, The",Comedy|Drama|Romance,1995,Rob Reiner,"['Michael Douglas', 'Annette Bening', 'Martin Sheen']","['new love', 'usa president', 'the white house', 'holiday', 'global warming', 'press', 'fossil fuel', 'dating', 'class differences', 'widower', 'wildlife conservation', 'lobbyist', 'father daughter relationship', 'widower with daughter', 'romantic']"
